Noise,Severity,Detector,Latency (s),F1 Score,FPR
0.01,0.01,Threshold,0.9709709709709706,0.8925802879291251,0.0
0.01,0.01,Z-Score,inf,0.0,0.016
0.01,0.01,Kalman,0.0,0.6582456140350877,0.912
0.01,0.01,Autoencoder,0.0,0.675219446320054,0.962
0.01,0.01,Hybrid,0.0,0.6548295454545454,0.894
0.01,0.05,Threshold,0.19019019019019012,0.9806320081549439,0.0
0.01,0.05,Z-Score,inf,0.0,0.016
0.01,0.05,Kalman,0.0,0.6786454733932273,0.912
0.01,0.05,Autoencoder,0.0,0.675219446320054,0.962
0.01,0.05,Hybrid,0.0,0.6828929068150209,0.894
0.01,0.1,Threshold,0.07007007007007005,0.9929506545820745,0.0
0.01,0.1,Z-Score,inf,0.0,0.016
0.01,0.1,Kalman,0.0,0.6813793103448276,0.912
0.01,0.1,Autoencoder,0.0,0.675219446320054,0.962
0.01,0.1,Hybrid,0.0,0.6865464632454924,0.894
0.05,0.01,Threshold,0.9909909909909906,0.8901220865704772,0.0
0.05,0.01,Z-Score,0.3103103103103102,0.015655577299412915,0.014
0.05,0.01,Kalman,0.13013013013013008,0.6,0.666
0.05,0.01,Autoencoder,0.0,0.675219446320054,0.962
0.05,0.01,Hybrid,0.0,0.6301369863013698,0.8
0.05,0.05,Threshold,0.21021021021021014,0.9743589743589743,0.0
0.05,0.05,Z-Score,inf,0.0,0.014
0.05,0.05,Kalman,0.05005005005005003,0.7055167055167055,0.666
0.05,0.05,Autoencoder,0.020020020020020013,0.7625676720804331,0.6
0.05,0.05,Hybrid,0.06006006006006004,0.723336006415397,0.592
0.05,0.1,Threshold,0.09009009009009006,0.9909182643794148,0.0
0.05,0.1,Z-Score,inf,0.0,0.014
0.05,0.1,Kalman,0.03003003003003002,0.7154973014649191,0.666
0.05,0.1,Autoencoder,0.0,0.675219446320054,0.962
0.05,0.1,Hybrid,0.0,0.6928104575163399,0.8
0.1,0.01,Threshold,1.0010010010010006,0.8876529477196885,0.0
0.1,0.01,Z-Score,0.3103103103103102,0.031189083820662766,0.01
0.1,0.01,Kalman,0.20020020020020013,0.5213849287169042,0.452
0.1,0.01,Autoencoder,0.6306306306306304,0.5248990578734859,0.096
0.1,0.01,Hybrid,0.2902902902902902,0.4800910125142207,0.336
0.1,0.05,Threshold,0.37037037037037024,0.9615784008307373,0.0
0.1,0.05,Z-Score,inf,0.0,0.01
0.1,0.05,Kalman,0.10010010010010006,0.7150442477876107,0.452
0.1,0.05,Autoencoder,0.09009009009009006,0.9124877089478859,0.106
0.1,0.05,Hybrid,0.1501501501501501,0.7521047708138447,0.334
0.1,0.1,Threshold,0.11011011011011007,0.9888776541961577,0.0
0.1,0.1,Z-Score,inf,0.0,0.01
0.1,0.1,Kalman,0.05005005005005003,0.738488271068636,0.452
0.1,0.1,Autoencoder,0.05005005005005003,0.9428571428571428,0.11
0.1,0.1,Hybrid,0.05005005005005003,0.8121104185218165,0.334
